Restaurant_Name,Country Code,City,Address,Locality,Locality Verbose,lon,lat,cost_for_two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price_Range,Rating,Rating color,Review,Votes
22nd Parallel,1,Vadodara,"1st Floor, Tapan Complex, Next To M Cube Mall, Alkapuri, Vadodara",Alkapuri,"Alkapuri, Vadodara",73.167788,22.307898,400,Indian Rupees(Rs.),No,No,No,No,2,4,Dark Green,Excellent,344
Rainbows,1,New Delhi,"Ground Floor, F 313/842, Lado Sarai, New Delhi",Lado Sarai,"Lado Sarai, New Delhi",77.195496,28.523803,400,Indian Rupees(Rs.),No,Yes,No,No,1,3,Orange,Average,10
The Godinho's,1,Gurgaon,"Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon",0.0,0.0,600,Indian Rupees(Rs.),No,No,No,No,2,3,Yellow,Good,23
Cafe Coffee Day,1,Gurgaon,"F-13, Qutub Plaza, DLF Phase 1, Gurgaon","Qutab Plaza, DLF Phase 1","Qutab Plaza, DLF Phase 1, Gurgaon",77.1017259,28.4718072,450,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,18
Yumbo Bites,1,Noida,"D-5, Logix Infotech, Sector 59, Noida",Sector 59,"Sector 59, Noida",77.3724933,28.6086461,350,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,10
New Durga Dosa Corner,1,New Delhi,"GH-14/753, Gate 6, Paschim Vihar, New Delhi",Paschim Vihar,"Paschim Vihar, New Delhi",77.0845702,28.6702286,300,Indian Rupees(Rs.),No,Yes,No,No,1,3,Orange,Average,43
Delhi Lazeez,1,New Delhi,"East of Kailash, East of Kailash, New Delhi",East of Kailash,"East of Kailash, New Delhi",77.2475006,28.5543714,500,Indian Rupees(Rs.),No,Yes,No,No,2,0,White,Not rated,2
Milko Sweets Corner,1,New Delhi,"WZ-135, Naraina Ring Road, Naraina, New Delhi",Naraina,"Naraina, New Delhi",77.1356151,28.622227,100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
Boombox Cafe Reloaded,1,New Delhi,"C-10, Vishal Enclave, Rajouri Garden, New Delhi",Rajouri Garden,"Rajouri Garden, New Delhi",77.1181073,28.647193,1100,Indian Rupees(Rs.),Yes,No,No,No,3,3,Yellow,Good,605
Wok On Wheels,1,New Delhi,"District Center, Opposite DLF Towers, Jasola, New Delhi",Jasola,"Jasola, New Delhi",77.2900843,28.5398573,550,Indian Rupees(Rs.),No,Yes,No,No,2,3,Yellow,Good,80
Bemisaal Reloaded,1,New Delhi,"B-26 & 27, Community Centre, Janakpuri, New Delhi",Janakpuri,"Janakpuri, New Delhi",77.091394,28.6291122,1250,Indian Rupees(Rs.),No,Yes,No,No,3,3,Yellow,Good,128
Invitation,1,Faridabad,"Invitation Inn Banquet & Rooms, DLF Sector 10, Faridabad",Sector 10,"Sector 10, Faridabad",0.0,0.0,700,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,3
Burger Lust,1,New Delhi,"Masjid Moth, Lila Ram Market, South Extension 2, New Delhi",South Extension 2,"South Extension 2, New Delhi",77.220457,28.56350464,100,Indian Rupees(Rs.),No,Yes,No,No,1,2,Orange,Average,13
The Sugar Therapy,1,New Delhi,"63-C, Pocket F, Gangotri Apartments, Alaknanda, New Delhi",Alaknanda,"Alaknanda, New Delhi",77.252479,28.523785,450,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,22
Jalsa Lounge,1,Gurgaon,"Jalsa Builiding, Golf Course Road, Gurgaon",Golf Course Road,"Golf Course Road, Gurgaon",77.0941432,28.4667953,850,Indian Rupees(Rs.),Yes,No,No,No,2,3,Orange,Average,37
R1 Lounge,1,New Delhi,"14-A/1, WEA, Chaana Market, Saraswati Marg, Karol Bagh, New Delhi",Karol Bagh,"Karol Bagh, New Delhi",77.18532767,28.64555639,1100,Indian Rupees(Rs.),Yes,Yes,No,No,3,2,Orange,Average,31
Choicest Cakes,1,Noida,"Vivek Vihar, Sector 82, Sector 93, Noida",Sector 93,"Sector 93, Noida",77.3856446,28.5144055,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
Grand Barbeque Buffet Restaurant,214,Dubai,"Al Mina Road, Next to Ibis Styles Jumeirah Hotel, Satwa, Dubai",Satwa,"Satwa, Dubai",55.27340334,25.24107351,150,Emirati Diram(AED),Yes,Yes,No,No,3,4,Green,Very Good,552
The Zaffran,1,Kanpur,"Ratan Zone, Coca-Cola Crossing, Ashok Nagar, Kanpur",Ashok Nagar,"Ashok Nagar, Kanpur",80.31356357,26.47161686,800,Indian Rupees(Rs.),No,No,No,No,3,3,Orange,Average,51
Uber Lounge,1,New Delhi,"M-42, M Block Market, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Greater Kailash (GK) 2, New Delhi",77.2436254,28.5334703,2200,Indian Rupees(Rs.),Yes,Yes,No,No,4,3,Yellow,Good,430
Sialkot,1,New Delhi,"13-A, Shivpuri, Opposite 14 Block, Krishna Nagar, New Delhi",Krishna Nagar,"Krishna Nagar, New Delhi",77.2781836,28.6515992,250,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,7
21 Gun Salute,1,Gurgaon,"SCO 35-36, 1st Foor, Main Market, Sector 29, Gurgaon",Sector 29,"Sector 29, Gurgaon",77.0631472,28.4681891,2000,Indian Rupees(Rs.),Yes,Yes,No,No,4,3,Yellow,Good,1365
La Seine -The Chocolate Emporium,1,New Delhi,"G-54, Main Market, Green Park, New Delhi",Green Park,"Green Park, New Delhi",77.2023504,28.5566267,300,Indian Rupees(Rs.),No,Yes,No,No,1,3,Yellow,Good,25
"Ada ""e"" Haandi's",1,New Delhi,"Shop 2, Sector 12, R K Puram, New Delhi",R K Puram,"R K Puram, New Delhi",77.1761056,28.5750668,750,Indian Rupees(Rs.),No,Yes,No,No,2,2,Red,Poor,30
Aggarwal Sweets & Restaurant,1,Gurgaon,"B-89, Vyaapar Kendra, Palam Vihar, Gurgaon","Vyapar Kendra, Palam Vihar","Vyapar Kendra, Palam Vihar, Gurgaon",77.0311238,28.5088417,100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Wrapss,1,New Delhi,"Near City Hospital, Pusa Road, Karol Bagh, New Delhi",Karol Bagh,"Karol Bagh, New Delhi",77.1905267,28.6435122,350,Indian Rupees(Rs.),No,Yes,No,No,1,3,Yellow,Good,214
Route 04,1,New Delhi,"K-2, Middle Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.2200822,28.6348681,1350,Indian Rupees(Rs.),Yes,Yes,No,No,3,3,Yellow,Good,1863
Nawras Seafood Restaurant,1,Kochi,"Near Pullepadi Bus stop, Chittoor Road, Kochi",Chittoor Road,"Chittoor Road, Kochi",76.28500095,9.979362921,1000,Indian Rupees(Rs.),No,No,No,No,3,4,Dark Green,Excellent,289
Food Town,1,Noida,"Shop 12, A Block, Sector 31, Noida",Sector 31,"Sector 31, Noida",0.0,0.0,250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
EDC Mania,1,New Delhi,"95-1/2 Gautam Nagar, Yusuf Sarai, New Delhi",Yusuf Sarai,"Yusuf Sarai, New Delhi",77.2132657,28.5616657,150,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
Pearls Regency,1,Noida,"R-253, Block I, Ganga Shopping Complex, Sector 29, Noida","Ganga Shopping Complex, Sector 29","Ganga Shopping Complex, Sector 29, Noida",77.3352723,28.5674286,1200,Indian Rupees(Rs.),No,No,No,No,3,3,Yellow,Good,330
Kolkata Hot Kathi Rolls,1,Faridabad,"Deepak Complex, Near Eros Garden, Charmwood Village, Faridabad",Charmwood Village,"Charmwood Village, Faridabad",77.2918292,28.4922473,300,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,11
Kaka Da Dhaba,1,New Delhi,"R.K. Puram Sector 12, R K Puram, New Delhi",R K Puram,"R K Puram, New Delhi",77.1741183,28.5771926,100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Milk n More,1,New Delhi,"2406, Chawri Bazar, New Delhi",Chawri Bazar,"Chawri Bazar, New Delhi",77.2310851,28.650566,100,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,6
Peg Leg Pete's,216,Pensacola,"1010 Fort Pickens Rd, Pensacola Beach, FL 32561",Pensacola Beach,"Pensacola Beach, Pensacola",-87.164376,30.327864,40,Dollar($),No,No,No,No,3,4,Green,Very Good,1408
Oriental Lee,1,New Delhi,"India Habitat Centre, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi",77.225607,28.58997,500,Indian Rupees(Rs.),No,No,No,No,2,2,Orange,Average,19
Spicy N Karara,1,New Delhi,"15/64, West Extension Area, Ajma Khan Road, Karol Bagh, New Delhi",Karol Bagh,"Karol Bagh, New Delhi",77.1892688,28.6467961,650,Indian Rupees(Rs.),No,Yes,No,No,2,3,Orange,Average,93
Ali Baba Caves,1,Noida,"1st Floor, Ansal Plaza Mall, Pari Chowk, Greater Noida, Noida","Ansal Plaza Mall, Greater Noida","Ansal Plaza Mall, Greater Noida, Noida",77.5281286,28.4581066,500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,15
BMG - All Day Dining,1,Dehradun,"140 A, Rajpur Road, Jakhan, Dehradun",Jakhan,"Jakhan, Dehradun",78.06888981,30.36268594,0,Indian Rupees(Rs.),No,No,No,No,1,4,Green,Very Good,63
Punjabi Dhani,1,Gurgaon,"220/11, Near Aryan Hospital, Old Railway Road, Gurgaon",Old Railway Road,"Old Railway Road, Gurgaon",77.0193636,28.470213,700,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,25
Ankur Family Restaurant,1,New Delhi,"B 17/E Metro Station, New Ashok Nagar, Near Mayur Vihar Phase 1, New Delhi",Mayur Vihar Phase 1,"Mayur Vihar Phase 1, New Delhi",77.3062786,28.5892005,300,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,4
Bikkgane Biryani,1,New Delhi,"P-2/90, Opposite PVR Rivoli, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.2161897,28.6316714,800,Indian Rupees(Rs.),No,Yes,No,No,2,4,Green,Very Good,740
Nescafe,1,New Delhi,"M-51, M Block Market, Greater Kailash (GK) 1, New Delhi",Greater Kailash (GK) 1,"Greater Kailash (GK) 1, New Delhi",77.2352165,28.5502291,200,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,36
Amaze Dining,1,New Delhi,"G-82, Kirti Nagar, New Delhi",Kirti Nagar,"Kirti Nagar, New Delhi",77.1438291,28.6501384,1100,Indian Rupees(Rs.),Yes,No,No,No,3,3,Orange,Average,10
Sweeter Delight,1,New Delhi,"G-3/67, Model Town 3, New Delhi",Model Town 3,"Model Town 3, New Delhi",77.1853604,28.7093409,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,3
Firefly India,1,New Delhi,"2nd Floor, C-180, Defence Colony, New Delhi",Defence Colony,"Defence Colony, New Delhi",77.234004,28.5728373,500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,16
Samrat Bakers,1,New Delhi,"Chowk Harikat Nagar, Kingsway Camps, Delhi University-GTB Nagar, New Delhi",Delhi University-GTB Nagar,"Delhi University-GTB Nagar, New Delhi",77.2075896,28.6984683,200,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,16
Delhi Biryani Hut,1,Noida,"RN-3-B, Opposite Corporation Bank, Near Fortis Hospital, Sector 62, Noida",Sector 62,"Sector 62, Noida",77.3704181,28.6181215,300,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,9
Sona Pure Veg Paradise,1,New Delhi,"Epicuria Food Mall, Nehru Place Metro Station, Nehru Place, New Delhi","Epicuria Food Mall, Nehru Place","Epicuria Food Mall, Nehru Place, New Delhi",77.2514264,28.551456,500,Indian Rupees(Rs.),No,No,No,No,2,3,Yellow,Good,158
Raju Halwai,1,Gurgaon,"Shop 49, Gali 6, Main Madanpuri Road, Laxmi Bazar, Old Railway Road, Gurgaon",Old Railway Road,"Old Railway Road, Gurgaon",77.0179074,28.4603566,450,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,7
Bakerz Lodge,1,New Delhi,"19 NWA, Club Road, Punjabi Bagh, New Delhi",Punjabi Bagh,"Punjabi Bagh, New Delhi",77.12192863,28.66666563,250,Indian Rupees(Rs.),No,Yes,No,No,1,4,Green,Very Good,99
Aim Cafe And Restaurant,1,Noida,"Shop FF 5, 2nd Floor, NRI City Centre, Near Pari Chowk, Greater Noida, Noida",Greater Noida,"Greater Noida, Noida",77.5111213,28.4632797,1200,Indian Rupees(Rs.),Yes,No,No,No,3,3,Orange,Average,19
Nik's Chawla Chik Inn,1,New Delhi,"C-159, Shop 27, Naraina Industrial Area, Phase 1, Naraina, New Delhi",Naraina,"Naraina, New Delhi",77.1371165,28.6292946,600,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,2
Surprise - Bakers & Bites,1,New Delhi,"RZD 1/366, Street 5, Mahavir Enclave, Palam, New Delhi",Palam,"Palam, New Delhi",77.0847547,28.5962898,400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Wah Ji Wah,1,New Delhi,"A-79, Main Red Light Chowk, Opposite Vishal Mega Mart, Main Vasant Kunj Road, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",77.1247414,28.5467116,450,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,6
Eat Street Express,1,Nagpur,"Shraddhanandpeth Square, Opposite A-Square Building, Abhyankar Road, Near, Bajaj Nagar, Nagpur",Bajaj Nagar,"Bajaj Nagar, Nagpur",79.05922417,21.12499944,500,Indian Rupees(Rs.),No,Yes,No,No,2,4,Green,Very Good,103
Mathura Lassi Wala,1,New Delhi,"K-Block, Rangpuri Road, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",77.125056,28.5438292,250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Perron,189,Sandton,"Illovo Junction, Corner Oxford Road and Corlett Drive, Illovo, Sandton",Illovo,"Illovo, Sandton",28.04833811,-26.13493464,250,Rand(R),No,No,No,No,3,4,Green,Very Good,581
Jai Hind Dairy,1,New Delhi,"17 &18, Edward Line, Kingsway Camp, Near, Delhi University-GTB Nagar, New Delhi",Delhi University-GTB Nagar,"Delhi University-GTB Nagar, New Delhi",77.2041824,28.6958742,100,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,5
Scoops,1,New Delhi,"E-1, Bal Udyan Road, Uttam Nagar, New Delhi",Uttam Nagar,"Uttam Nagar, New Delhi",77.0580204,28.6203826,200,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,9
"34, Chowringhee Lane",1,New Delhi,"V 3 S Mall, Laxmi Nagar, New Delhi","V3S Mall, Laxmi Nagar","V3S Mall, Laxmi Nagar, New Delhi",77.2861642,28.6367213,350,Indian Rupees(Rs.),No,No,No,No,1,2,Red,Poor,45
Bentoya,215,Edinburgh,"15 Bread Street, Old Town, Edinburgh EH3 9AL",Old Town,"Old Town, Edinburgh",-3.204735,55.945895,25,Pounds(ï¿½ï¿½),No,No,No,No,2,3,Yellow,Good,32
Vaishno Punjabi Dhaba,1,New Delhi,"E-16/289, Sector 8, Rohini, New Delhi",Rohini,"Rohini, New Delhi",77.1215051,28.7048624,400,Indian Rupees(Rs.),No,Yes,No,No,1,3,Yellow,Good,70
Hussain - UP Ki Mashoor Biryani,1,New Delhi,"Sabzi Mandi, Katwaria Sarai Main Road, Qutab Institutional Area, New Delhi",Qutab Institutional Area,"Qutab Institutional Area, New Delhi",77.1862789,28.5415131,150,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
Shree Rathnam,1,New Delhi,"251/3, Post Office Block, Krishna Nagar, New Delhi",Krishna Nagar,"Krishna Nagar, New Delhi",77.2814156,28.6602389,800,Indian Rupees(Rs.),No,Yes,No,No,2,2,Orange,Average,66
Summer Pavilion,184,Singapore,"The Ritz-Carlton, 7 Raffles Avenue,  Millenia Singapore,  039799","Marina Centre, Downtown Core","Marina Centre, Downtown Core, Singapore",103.8601766,1.290800881,300,Dollar($),No,No,No,No,4,3,Yellow,Good,34
Chicken Chilli Corner,1,New Delhi,"E-361, Ramesh Nagar, Kirti Nagar, New Delhi",Kirti Nagar,"Kirti Nagar, New Delhi",77.130681,28.6489905,500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,10
D ART of Flavour,1,Faridabad,"H-250, B/10, 60 Feet Road, Pul Prahladpur, Suraj Kund, Faridabad",Suraj Kund,"Suraj Kund, Faridabad",77.2937593,28.4982147,500,Indian Rupees(Rs.),No,No,No,No,2,2,Orange,Average,13
Barista Creme Lavazza,1,Gurgaon,"Lower Ground Floor, MGF Metropolis Mall, MG Road, Gurgaon","MGF Metropolis Mall, MG Road","MGF Metropolis Mall, MG Road, Gurgaon",77.0823932,28.4785568,650,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,13
Bikaner Sweets & Namkeen,1,New Delhi,"J-13/12, DDA Flats, Kalkaji, New Delhi",Kalkaji,"Kalkaji, New Delhi",77.25476302,28.52562912,200,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,4
Yellow Dog Eats,216,Orlando,"1236 Hempel Avenue,Gotha, FL 34786",Windermere,"Windermere, Orlando",-81.522987,28.527592,35,Dollar($),No,No,No,No,3,4,Dark Green,Excellent,1252
Moti Mahal Delux Tandoori Trail,1,Ranchi,"Lower Ground Floor Karni Heights, Beside Milan Palace, Club Road, Kadru, Ranchi",Kadru,"Kadru, Ranchi",85.32696667,23.35378333,1000,Indian Rupees(Rs.),No,No,No,No,3,3,Yellow,Good,119
The Edge Cafe,1,New Delhi,"32-B, JP Complex, Opposite UNA Enclave, Mayur Vihar Phase 1, New Delhi",Mayur Vihar Phase 1,"Mayur Vihar Phase 1, New Delhi",77.28917677,28.61092375,400,Indian Rupees(Rs.),No,Yes,No,No,1,3,Orange,Average,53
Friends Shawarma,1,New Delhi,"111, Sundram Tower, Paschim Vihar, New Delhi",Paschim Vihar,"Paschim Vihar, New Delhi",77.1018159,28.6701038,350,Indian Rupees(Rs.),No,No,No,No,1,3,Yellow,Good,107
Chawla Family Restaurant,1,New Delhi,"52-53,  Opposite Surya, DDA Market, Rajouri Garden, New Delhi",Rajouri Garden,"Rajouri Garden, New Delhi",77.1200964,28.6387768,700,Indian Rupees(Rs.),No,Yes,No,No,2,3,Orange,Average,93
Zooby's Kitchen,1,New Delhi,"New Friends Colony, New Delhi",New Friends Colony,"New Friends Colony, New Delhi",77.271844,28.56528,800,Indian Rupees(Rs.),No,No,No,No,2,2,Orange,Average,21
City Dhaba,1,Faridabad,"11-12 Dividing Road, Sector 12, Faridabad",Sector 12,"Sector 12, Faridabad",77.3144456,28.3811924,550,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,0
The Chef Restaurant,1,New Delhi,"70, Humayun Pur, Safdarjung Enclave, Safdarjung, New Delhi",Safdarjung,"Safdarjung, New Delhi",77.19402138,28.56172425,400,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,63
Keventers,1,New Delhi,"Shop 15, Community Centre, New Friends Colony, New Delhi",New Friends Colony,"New Friends Colony, New Delhi",77.2683973,28.5613147,400,Indian Rupees(Rs.),No,Yes,No,No,1,3,Orange,Average,13
Curry 'n' Phulka,1,Gurgaon,"GF-1, Vyapar Kendra, Block C, Sushant Lok, Gurgaon","Vyapar Kendra, Sushant Lok","Vyapar Kendra, Sushant Lok, Gurgaon",77.0837421,28.4607562,400,Indian Rupees(Rs.),No,Yes,No,No,1,2,Red,Poor,83
Palji Corner,1,New Delhi,"WZ 274/A1, Main Market, Inderpuri, Naraina, New Delhi",Naraina,"Naraina, New Delhi",77.148368,28.6323154,150,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,30
Cafe Huddle,1,New Delhi,"6, Food Capital, Worldmark 1, Aerocity, New Delhi","Worldmark 1, Aerocity","Worldmark 1, Aerocity, New Delhi",77.12179529,28.5503472,600,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,3
Austin's BBQ and Oyster Bar,216,Albany,"2820 Meredyth Dr, Albany, GA 31707",Albany,"Albany, Albany",-84.221535,31.610387,25,Dollar($),No,No,No,No,2,3,Orange,Average,35
Parikrama - The Revolving Restaurant,1,New Delhi,"22, Antriksh Bhavan, Kasturba Gandhi Marg, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22263787,28.62845265,2400,Indian Rupees(Rs.),No,No,No,No,4,3,Yellow,Good,2689
Jyoti Sweets,1,New Delhi,"B 170, Jhilmil Colony, Vivek Vihar, New Delhi",Vivek Vihar,"Vivek Vihar, New Delhi",77.3121633,28.66982713,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Domino's Pizza,1,New Delhi,"1 & 2, Block A-5 B, DDA Market, Paschim Vihar, New Delhi",Paschim Vihar,"Paschim Vihar, New Delhi",77.1043703,28.6768613,700,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,111
Arabicaa 9,1,Gurgaon,"Shop 1, Plot 1-A, Circular Road, New Colony, Sector 7, Gurgaon",Sector 7,"Sector 7, Gurgaon",77.0176107,28.467311,500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,22
Angan Bakery & Cafe,1,New Delhi,"Yashwant Palace Market, Chanakyapuri, New Delhi",Chanakyapuri,"Chanakyapuri, New Delhi",77.191515,28.5850979,600,Indian Rupees(Rs.),No,No,No,No,2,2,Orange,Average,10
Mughlai Flavours,1,New Delhi,"17, DDA Market, Hudson Lane, Delhi University-GTB Nagar, New Delhi",Delhi University-GTB Nagar,"Delhi University-GTB Nagar, New Delhi",77.2050359,28.6944781,300,Indian Rupees(Rs.),No,Yes,No,No,1,3,Orange,Average,17
Bakermania,1,New Delhi,"A-9/1, 1st Floor, Near Holy Child School, Vasant Vihar, New Delhi",Vasant Vihar,"Vasant Vihar, New Delhi",0.0,0.0,400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
Paco Meals,1,Noida,"Sector 51, Noida",Sector 51,"Sector 51, Noida",77.3674796,28.5582143,150,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,11
Sardar Ji Chaap & Rolls,1,New Delhi,"Pocket H & J Market, Pankaj Plaza, Sarita Vihar, Sarita Vihar, New Delhi",Sarita Vihar,"Sarita Vihar, New Delhi",77.2910441,28.5349496,200,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,7
Chaayos,1,New Delhi,"Shop 301-B, 2nd Floor, DLF Promenade, Nelson Mandela Road, Vasant Kunj, New Delhi","DLF Promenade Mall, Vasant Kunj","DLF Promenade Mall, Vasant Kunj, New Delhi",77.15574123,28.54284148,400,Indian Rupees(Rs.),No,No,No,No,1,3,Yellow,Good,91
The Pepper's,1,Gurgaon,"Shop 10, Behind Axis Bank, Palam Vihar, Gurgaon",Palam Vihar,"Palam Vihar, Gurgaon",77.0394717,28.5119564,250,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,5
The Pizza Family,1,New Delhi,"126/114, Najafgarh Road, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",77.06413608,28.67799829,350,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Faasos,1,New Delhi,"Shop 30, Gandhi Market, Minto Road, Barakhamba Road, New Delhi",Barakhamba Road,"Barakhamba Road, New Delhi",77.22947,28.637044,600,Indian Rupees(Rs.),No,Yes,No,No,2,2,Orange,Average,11
Laziz Fast Food & Laziz Khana,1,New Delhi,"Opposite H block Market, Sarita Vihar, New Delhi",Sarita Vihar,"Sarita Vihar, New Delhi",77.2909739,28.5352265,350,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,7
Greek Corner Deli,216,Macon,"587 Cherry St, Macon, GA 31201",Macon,"Macon, Macon",-83.628703,32.83654,10,Dollar($),No,No,No,No,1,4,Green,Very Good,244
Al Bake,1,New Delhi,"32, Food Court, Living Style Mall, Main Kalindi Kunj Road, Jasola, New Delhi","Living Style Mall, Jasola","Living Style Mall, Jasola, New Delhi",77.2969779,28.5411661,600,Indian Rupees(Rs.),No,No,No,No,2,2,Orange,Average,66
Le Cirque - The Leela Palace,1,New Delhi,"The Leela Palace, Diplomatic Enclave, Chanakyapuri, New Delhi","The Leela Palace, Chanakyapuri","The Leela Palace, Chanakyapuri, New Delhi",77.1889752,28.5793901,5000,Indian Rupees(Rs.),Yes,No,No,No,4,3,Yellow,Good,199
Tucanos,216,Boise,"1388 S Entertainment Ave, Boise, ID 83709",Boise,"Boise, Boise",-116.280614,43.591706,40,Dollar($),No,No,No,No,3,4,Green,Very Good,435
Perch Wine & Coffee Bar,1,New Delhi,"71, 1st Floor, Khan Market, New Delhi",Khan Market,"Khan Market, New Delhi",77.2261901,28.5998768,2000,Indian Rupees(Rs.),No,No,No,No,4,4,Green,Very Good,551
Om Sai Dosa Corner,1,New Delhi,"109, Near D Park, Pandav Nagar, New Delhi",Pandav Nagar,"Pandav Nagar, New Delhi",77.2843146,28.6187643,350,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,4
Keventers,1,Faridabad,"Booth 125-P, Ground Floor, Huda Market, Sector 15, Faridabad",Sector 15,"Sector 15, Faridabad",77.3218081,28.3947688,400,Indian Rupees(Rs.),No,No,No,No,1,3,Yellow,Good,27
Punjab Patiyala Sahi,1,New Delhi,"Guru Nanak Pura, Jail Road, New Delhi",Jail Road,"Jail Road, New Delhi",77.0974053,28.6342008,350,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
Andrea's Eatery,1,New Delhi,"Shop 48A-51, First Floor, District Centre, Saket, New Delhi","Select Citywalk Mall, Saket","Select Citywalk Mall, Saket, New Delhi",77.21872788,28.52832061,2000,Indian Rupees(Rs.),Yes,No,No,No,4,4,Green,Very Good,130
Momos House,1,New Delhi,"G-130, Sudarshan Cinema Road, Gautam Nagar, Hauz Khas, New Delhi",Hauz Khas,"Hauz Khas, New Delhi",77.2100361,28.5609831,350,Indian Rupees(Rs.),No,Yes,No,No,1,3,Orange,Average,32
Chandu Chat Bhandar,1,Noida,"Amrapali Arcade, Sector 45, Noida, Delhi NCR",Sector 45,"Sector 45, Noida",0.0,0.0,150,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Pho Bac,216,Augusta,"4300 Towne Centre, Evans, GA 30809",Evans,"Evans, Augusta",-82.126161,33.532249,10,Dollar($),No,No,No,No,1,4,Green,Very Good,270
Anjel China & Tibetian Food,1,New Delhi,"Chawla Gurgaon Road, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",77.0024495,28.5607897,400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
MOC - The American Restaurant,1,New Delhi,"38-A, Pocket A-2, Mayur Vihar Phase 3, New Delhi",Mayur Vihar Phase 3,"Mayur Vihar Phase 3, New Delhi",77.33534496,28.61123545,400,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,35
Underdoggs Sports Bar & Grill,1,Guwahati,"1st Floor, Central Mall, G.S. Road, Sree Nagar, Christian Basti, Guwahati",Christian Basti,"Christian Basti, Guwahati",0.0,0.0,1650,Indian Rupees(Rs.),No,No,No,No,4,4,Green,Very Good,222
The Munchbox,1,New Delhi,"Greater Kailash (GK) 1, New Delhi",Greater Kailash (GK) 1,"Greater Kailash (GK) 1, New Delhi",77.2350504,28.5502088,850,Indian Rupees(Rs.),No,Yes,No,No,2,3,Orange,Average,199
